รหัสสินค้า,ชื่อสินค้า,จำนวนขวด/ลัง, ปริมาณลิตร/ขวด ,แอลกอฮอล %,พิกัด,ชนิดสินค้า,ประเทศ,เลข 28 หลัก,วันที่ 28 หลัก,สต็อก,Invoice No: ,วันที่ Invoice ,ใบขนขาเข้า,วันที่ใบขน,รายการที่,เลขที่ใบอนุญาต,วันที่ใบอนุญาต,เลขที่ กนอ.ขาเข้า,วันที่ กนอ., จำนวนสินค้าเข้า , ราคา ,เรตไทย,เงินรวม,จำนวนสินค้าคงเหลือ,ราคาต้นทุน (บาท),ชื่อภาษาไทย,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-011,CHATEAU CLERC MILON 2013 PAUILLAC,6, 0.750 ,13.00%,22042111,ไวน์,FR,1301020200DGc000000303DE0701,02/02/2018,หลัก,,,,,,,,,,,,,,,,ตุ๊กตาคู่ 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-012,CHATEAU CLERC MILON 2015 PAUILLAC   ,12, 0.750 ,13.50%,22042111,ไวน์,FR,1301020200DGd000000310140701,02/02/2018,หลัก ,,,,,,,,,,,,,,,,ตุ๊กตาคู่ 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-013,CHATEAU CLERC MILON 2015 PAUILLAC ,6, 0.750 ,13.50%,22042111,ไวน์,FR,1301020200DGd000000310140702,02/02/2018,หลัก ,,,,,,,,,,,,,,,,ตุ๊กตาคู่ 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-014,CHOYA GOLD EDITION ,6, 0.500 ,19.00%,22060099,ไวน์,JP,1301020200GKJ000000070670701,01/08/2018,หลัก ,,,,,,,,,,,,,,,,โชญา โกล เอดิชั่น,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-015,CHOYA YUZU  ,6, 0.700 ,15.00%,22060099,ไวน์,JP,1301020100GKM000000030130701,01/08/2018,หลัก ,,,,,,,,,,,,,,,,โชญ่า ยูซู่,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-016,CH.CLREC MILON 2001 ,12, 0.750 ,12.50%,22042111,ไวน์,FR,1301020200I8I000000290140701,13/11/2018,หลัก,,,,,,,,,,,,,,,,ตุ๊กตาคู่ 2001,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-017,CH.CLREC MILON 2006 ,6, 0.750 ,13.00%,22042111,ไวน์,FR,1301020200GrH000000300140701,29/08/2018,หลัก ,,,,,,,,,,,,,,,,ตุ๊กตาคู่ 2006,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-018,CH.CLREC MILON 2008,12, 0.750 ,13.00%,22042111,ไวน์,FR,1301020200I8J000000300140701,13/11/2018,หลัก,,,,,,,,,,,,,,,,ตุ๊กตาคู่ 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-019,CH.CLREC MILON 2009,12, 0.750 ,13.00%,22042111,ไวน์,FR,1301020200I8K000000300140701,13/11/2018,หลัก,,,,,,,,,,,,,,,,ตุ๊กตาคู่ 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-020,CH.CLREC MILON 2010,12, 0.750 ,13.00%,22042111,ไวน์,FR,1301020200I8L000000300140801,13/11/2018,หลัก,,,,,,,,,,,,,,,,ตุ๊กตาคู่ 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-021,CH.CLREC MILON 2012  ,6, 0.750 ,13.00%,22042111,ไวน์,FR,1301020200Grl000000300140702,29/08/2018,หลัก ,,,,,,,,,,,,,,,,ตุ๊กตาคู่ 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-022,CH.CLREC MILON 2012 ,12, 0.750 ,13.00%,22042111,ไวน์,FR,1301020200Grl000000300140701,29/08/2018,หลัก,,,,,,,,,,,,,,,,ตุ๊กตาคู่ 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-023,CH.CLREC MILON 2013 ,12, 0.750 ,13.50%,22042111,ไวน์,FR,1301020200HmL000000310140701,13/11/2018,หลัก,,,,,,,,,,,,,,,,ตุ๊กตาคู่ 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-024,CH.CLREC MILON 2014 ,12, 0.750 ,13.50%,22042111,ไวน์,FR,1301020200I8M000000310140701,13/11/2018,หลัก,,,,,,,,,,,,,,,,ตุ๊กตาคู่ 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-025,CK MONDAVI CABERNET ,12, 0.750 ,13.60%,22042111,ไวน์,US,1301020100I5I000000FI0140701,13/11/2018,หลัก,,,,,,,,,,,,,,,,ซี เค มอนเดวี่ คาร์เบอเน็ต,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-026,CIROC VODKA  ,8, 0.750 ,40.00%,22086000,วอดก้า,FR,1302020200FPy000000250140701,04/07/2018,พิเศษ,JLD06/2018 ,02/07/2018,A0090610718297,09/07/2018,7,2561/0050-61-853-00385,04/07/2018,3-2-42-114049-2561,12/01/2018,1, 90.00 ,32.8452," 2,956.07 ",1," 2,956.07 ",คิรอก วอดก้า,,,,,,,,,,,,,,,,,,,,,,,,,,,
